x,Curve1
7.56,0.0024
21.23,0.0178
35.63,0.0428
50.74,0.0868
61.89,0.1237
68.73,0.1594
76.28,0.1962
80.24,0.2022
86.72,0.1748
94.29,0.1534
105.44,0.1451
114.08,0.1309
120.56,0.1225
128.84,0.1107
133.52,0.0916
140,0.0774
147.2,0.0679
154.4,0.0845
159.44,0.1024
167.36,0.0786
170.96,0.056
180.68,0.0275
190.76,0.0334
201.55,0.0584
214.87,0.0893
222.42,0.1203
227.82,0.1678
232.49,0.2011
238.25,0.2249
243.29,0.2142
247.25,0.1833
250.49,0.1548
255.54,0.0858
258.78,0.043
266.34,0.024
290.82,-0.001
498.86,-0.002
506.42,0.017
513.61,0.0492
519.73,0.0789
525.85,0.0777
532.33,0.0575
537.73,0.0385
548.52,0.0789
555.72,0.1205
562.19,0.1372
567.6,0.1039
572.28,0.0658
578.76,0.0314
588.84,0.0124
598.2,0.0064
607.56,0.0231
612.95,0.0766
616.18,0.1491
621.56,0.3809
625.85,0.583
636.97,1.0324
641.99,1.225
647.74,1.2631
651.71,1.1323
656.06,0.9029
659.32,0.7091
662.6,0.3061
666.94,0.0719
671.62,0.0374
679.18,-0.0018
1146.01,-0.0015
1154.29,0.0294
1160.4,0.077
1166.88,0.0984
1173.36,0.0663
1177.32,0.033
1185.6,0.0271
1191.35,0.0699
1199.26,0.1579
1203.22,0.2031
1208.98,0.2185
1217.98,0.1496
1222.67,0.0866
1228.43,0.0259
1238.51,0.0022
1251.47,0.0295
1257.94,0.0937
1262.61,0.2055
1266.91,0.3137
1272.67,0.3707
1278.78,0.3981
1285.63,0.3244
1290.32,0.2542
1295.72,0.2008
1302.92,0.1485
1322,0.1164
1324.89,0.0902
1331.73,0.0415
1345.41,0.0213
1364.84,0.0284
1380.32,0.0593
1390.39,0.0998
1399.38,0.183
1405.13,0.2674
1413.76,0.3673
1420.23,0.4469
1423.82,0.4909
1428.86,0.5397
1433.9,0.5337
1437.15,0.46
1443.27,0.3828
1444.71,0.3519
1448.32,0.3233
1452.27,0.3459
1456.59,0.4149
1462.34,0.4672
1467.74,0.4755
1474.22,0.3959
1482.15,0.2817
1485.04,0.2009
1487.93,0.1462
1494.41,0.1058
1500.17,0.1213
1508.45,0.1225
1516.37,0.0761
1521.77,0.0844
1528.24,0.1106
1534.36,0.1391
1539.4,0.0904
1551.29,0.0012
2957.17,-0.0012
2964.37,0.0119
2971.2,0.0226
2978.04,0.0024
2984.16,-0.0107
3039.23,-0.0083
3048.23,0.0107
3061.19,0.0214
3071.99,6e-05
3080.62,-0.0035
